,Time,Cloud Cover,Max Temperature (°C) at 974,Min Temperature (°C) at 974,Munro Name
0,PM,some clouds,9,8,Ben-Lomond
1,night,clear,6,5,Ben-Lomond
2,AM,clear,8,8,Ben-Lomond
3,PM,clear,9,8,Ben-Lomond
4,night,some clouds,6,5,Ben-Lomond
5,AM,some clouds,8,7,Ben-Lomond
6,PM,clear,8,8,Ben-Lomond
7,night,some clouds,6,6,Ben-Lomond
8,AM,some clouds,10,8,Ben-Lomond
9,PM,light rain,10,9,Ben-Lomond
10,night,rain shwrs,8,7,Ben-Lomond
11,AM,some clouds,10,9,Ben-Lomond
12,PM,clear,10,10,Ben-Lomond
13,night,clear,8,6,Ben-Lomond
14,AM,clear,9,8,Ben-Lomond
15,PM,some clouds,11,11,Ben-Lomond
16,night,clear,9,7,Ben-Lomond
